SetSpeed, 5
SetProjectile, 0
Spawn, 0 0 0 0 0 0 0 1
Spawn, 0 0 1 1 1 0 0 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 1 0 0 0 0 0 0 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 0 0 0 0 0 0 1
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 0 0 0 0 0 1 1
Spawn, 0 0 0 0 0 1 1 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 0 1 0 0 0 0 1
Spawn, 1 0 0 0 0 0 0 0
Spawn, 1 0 0 0 0 0 0 0
Spawn, 1 0 0 0 0 1 0 0
Spawn, 0 0 0 0 0 1 1 0
Spawn, 0 0 1 0 0 0 0 0
Spawn, 1 0 0 0 0 0 0 0
Spawn, 1 0 0 0 0 0 0 0
Spawn, 0 0 0 0 1 0 0 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 1 0 0 0 0 0 0 0
Spawn, 0 0 0 0 1 0 0 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 0 0 1 1 0 0 0
Spawn, 0 0 1 0 1 0 0 0
Spawn, 0 0 1 0 0 1 0 0
Spawn, 1 0 0 1 1 0 0 0
Spawn, 0 0 1 0 1 0 0 0
Spawn, 0 0 0 0 1 0 0 1
Spawn, 0 0 0 0 0 1 0 0
Spawn, 0 1 0 0 1 0 0 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 0 0 0 1 0 0 0
Spawn, 0 1 0 0 0 0 0 0
Spawn, 0 0 0 1 0 0 0 0
Spawn, 0 1 0 0 0 0 0 1
Spawn, 0 0 1 0 0 0 0 1
Spawn, 0 0 0 0 0 1 1 0
Spawn, 0 0 0 0 1 0 0 0
Spawn, 1 0 0 0 0 0 0 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 0 0 0 0 0 1 1
Spawn, 1 1 0 0 0 0 1 0
Spawn, 0 0 0 0 1 0 0 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 0 0 0 0 1 0 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 1 0 0 0 0 0 0 0
Spawn, 0 0 2 1 0 0 0 0
Spawn, 0 0 0 0 0 0 1 1
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 1 0 0 0 0 0 0
Spawn, 0 0 0 1 0 0 0 0
Spawn, 0 0 1 0 0 0 0 0
Spawn, 0 0 0 1 0 0 1 0
Spawn, 1 0 0 0 1 0 0 0
Spawn, 0 1 0 0 0 0 0 1
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 0 0 0 1 0 0 0
Spawn, 1 1 0 0 0 1 0 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 0 0 0 1 0 0 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 0 0 1 0 0 0 0
Spawn, 0 0 1 0 1 0 0 0
Spawn, 0 0 1 0 0 0 1 0
Spawn, 0 0 0 0 0 1 0 0
Spawn, 0 0 0 0 0 0 1 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 0 0 0 1 0 0 0
Spawn, 0 0 0 1 0 0 0 0
Spawn, 0 1 0 0 0 0 0 0
Spawn, 1 0 0 0 1 1 1 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 1 1 0 0 1 0 0
Spawn, 0 0 0 0 0 0 1 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 1 1 0 1 0 0 0 0
Spawn, 0 1 0 0 0 0 0 0
Spawn, 0 0 0 0 1 0 0 0
Spawn, 0 0 0 0 1 0 1 0
Spawn, 0 0 0 0 0 0 1 0
Spawn, 0 1 0 0 0 0 0 0
Spawn, 0 0 0 0 0 0 0 1
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 0 1 0 0 0 1 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 0 1 0 0 0 0 0
Spawn, 0 1 1 0 0 0 0 0
Spawn, 0 0 0 2 1 0 1 1
Spawn, 0 0 0 0 0 1 0 0
Spawn, 1 0 0 0 0 0 0 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 0 0 0 0 1 0 1
Spawn, 0 0 0 0 0 0 1 1
Spawn, 0 0 0 0 0 0 0 0
Spawn, 1 0 0 1 0 0 0 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 1 0 0 0 0 0 0 0
Spawn, 1 1 0 0 0 1 0 0
Spawn, 0 0 0 0 0 1 0 1
Spawn, 1 0 0 0 0 0 0 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 0 1 0 0 0 0 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 1 0 0 0 0 1 0 0
Spawn, 0 0 1 1 0 1 0 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 0 0 1 1 0 0 0
Spawn, 0 0 0 0 1 0 0 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 0 0 0 0 1 0 0
Spawn, 0 0 0 0 0 0 0 1
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 1 1 1 0 1 1 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 0 0 0 0 0 0 0
Spawn, 0 0 0 0 1 0 0 0
Pause, 22
