SetSpeed, 5
SetProjectile, 2
Spawn, 1 1 1 0 1 1 1 1
Spawn, 1 1 1 0 1 1 1 1
Spawn, 1 1 1 0 1 1 1 1
Spawn, 1 1 1 0 1 1 1 1
Spawn, 1 1 1 0 1 1 1 1
Spawn, 1 1 1 0 1 1 1 1
Spawn, 1 1 1 0 1 1 1 1
Spawn, 1 1 1 0 1 1 1 1
Spawn, 1 1 1 0 1 1 1 1
Spawn, 1 1 1 0 1 1 1 1
Spawn, 1 1 1 0 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Pause, 22
